Brand,Model,Year,Price,EngineSize,Gear,Mileage,FuelType,Doors,Description
Audi,Q2 35 TFSI S Line 5dr S Tronic,2024,"Â£27,350",1.5 L,Semiauto,"9,980",Petrol,5,Audi Q2 35 TFSI S Line 5dr S Tronic 2024 1.5 L Petrol Semiauto 5
Audi,A6 Avant 40 TFSI S Line 5dr S Tronic,2022,"Â£27,490",2.0 L,Semiauto,"35,493",Petrol,5,Audi A6 Avant 40 TFSI S Line 5dr S Tronic 2022 2.0 L Petrol Semiauto 5
Audi,TT 40 TFSI S Line 2dr S Tronic,2023,"Â£27,495",2.0 L,Semiauto,"12,507",Petrol,2,Audi TT 40 TFSI S Line 2dr S Tronic 2023 2.0 L Petrol Semiauto 2
Audi,A5 40 TFSI 204 S Line 2dr S Tronic,2023,"Â£27,750",2.0 L,Semiauto,"9,800",Petrol,2,Audi A5 40 TFSI 204 S Line 2dr S Tronic 2023 2.0 L Petrol Semiauto 2
Audi,TT 45 TFSI Black Edition 2dr S Tronic,2021,"Â£27,990",2.0 L,Semiauto,"27,540",Petrol,2,Audi TT 45 TFSI Black Edition 2dr S Tronic 2021 2.0 L Petrol Semiauto 2
Audi,Q2 35 TFSI S Line 5dr S Tronic,2024,"Â£27,990",1.5 L,Semiauto,"3,864",Petrol,5,Audi Q2 35 TFSI S Line 5dr S Tronic 2024 1.5 L Petrol Semiauto 5
Audi,A6 40 TFSI S Line 4dr S Tronic,2022,"Â£28,495",2.0 L,Semiauto,"12,881",Petrol,4,Audi A6 40 TFSI S Line 4dr S Tronic 2022 2.0 L Petrol Semiauto 4
Audi,A5 Sportback 35 TFSI Sport 5dr S Tronic,2024,"Â£29,990",2.0 L,Semiauto,"7,734",Petrol,5,Audi A5 Sportback 35 TFSI Sport 5dr S Tronic 2024 2.0 L Petrol Semiauto 5
Audi,A5 35 TFSI S Line 2dr S Tronic,2024,"Â£29,990",2.0 L,Semiauto,"9,800",Petrol,2,Audi A5 35 TFSI S Line 2dr S Tronic 2024 2.0 L Petrol Semiauto 2
Audi,A4 35 TFSI Black Edition 4dr S Tronic,2023,"Â£29,990",2.0 L,Semiauto,"3,925",Petrol,4,Audi A4 35 TFSI Black Edition 4dr S Tronic 2023 2.0 L Petrol Semiauto 4
